seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
110,0.05,0.05,0.04,0.01,0,1.02,sideways
111,0.05,0.05,0.03,0.01,0,1.03,sideways
112,0.05,0.04,0.03,0.01,-0,1.02,sideways
113,0.06,0.05,0.04,0.01,0,1.02,sideways
114,0.05,0.04,0.03,0.01,-0,1.03,sideways
115,0.06,0.04,0.04,0.01,-0,1.03,sideways
116,0.06,0.04,0.05,0.01,-0,1.03,sideways
117,0.05,0.05,0.04,0.01,-0,1.03,sideways
118,0.05,0.05,0.04,0.02,-0,1.02,sideways
119,0.05,0.03,0.04,0.01,-0,1.03,sideways
120,0.05,0.04,0.05,0.01,-0,1.02,sideways
121,0.05,0.04,0.03,0.01,-0,1.03,sideways
122,0.05,0.05,0.04,0.01,-0,1.02,sideways
123,0.06,0.04,0.03,0.01,0,1.03,sideways
124,0.07,0.05,0.32,0.1,-0.01,1.02,sideways
125,0.06,0.06,-0.02,0.11,-0.01,1.03,sideways
126,0.05,0.06,-0.29,0.13,0.01,1.02,sideways
127,0.04,0.09,-0.13,0.25,-0,1,sideways
128,0.06,0.04,0.19,0.11,-0.01,1.04,sideways
129,0.07,0.08,0.53,0.11,0.02,1.04,sideways
130,0.06,0.05,-0.47,0.05,-0.02,1.01,sideways
131,0.07,0.02,-0.34,-0.02,-0.02,1.06,sideways
132,0.05,0.04,-0.14,-0.07,0.01,1.02,sideways
133,0.07,0.04,-0.34,-0.06,-0.01,1.02,sideways
134,0.03,0.03,0.31,-0.17,-0.04,1.11,sideways
135,0.08,0.04,0.57,-0.09,-0.01,1.05,sideways
136,0.06,0.04,-0.04,-0.1,-0.01,1.04,sideways
137,0.06,0.05,0.03,-0.02,-0.01,1.03,sideways
138,0.05,0.04,-0.36,0.01,0,1.02,sideways
139,0.05,0.04,-0.06,-0.03,0,1.03,sideways
140,0.05,0.05,0.15,0.03,-0,1.03,sideways
141,0.05,0.04,0.04,0.01,-0,1.02,sideways
142,0.05,0.04,0.04,0.01,-0,1.02,sideways
143,0.06,0.04,0.07,0.01,0,1.02,sideways
144,0.06,0.05,0.18,0.01,-0.01,1.02,sideways
145,0.05,0.05,0.14,0.01,-0,1.03,sideways
146,0.05,0.05,0.07,0.02,-0,1.03,sideways
147,0.05,0.04,0.04,0.01,-0,1.03,sideways
148,0.04,0.05,0.07,-0.01,-0.01,1.02,sideways
149,0.06,0.04,0.22,0.03,-0.01,1.03,sideways
150,0.05,0.05,0.14,-0.04,-0.01,1.03,sideways
151,0.06,0.06,0.15,-0.08,-0.01,1.03,sideways
152,0.03,0.07,-0.24,-0.17,-0.02,1.05,sideways
153,0.05,0.06,-0.02,-0.16,0.05,1.02,sideways
154,0.04,0.02,0.24,-0.2,0.05,0.95,sideways
155,0.08,0.02,1.26,-0.06,0.03,1.05,sideways
156,0.06,0.01,1.26,0.08,-0.02,1.02,sideways
157,0.07,0.03,0.68,0.28,-0.07,1,sideways
158,0.09,0.02,0.13,0.2,-0.05,1.04,sideways
159,0.03,0.04,-0.38,0.18,0.01,1.01,sideways
160,0.05,0.05,-0.02,0.12,-0.01,1.02,sideways
161,0.06,0.04,-0.2,0.09,-0,1.03,sideways
162,0.06,0.05,-0.05,0,-0,1.03,sideways
163,0.06,0.04,0.02,0.02,-0,1.03,sideways
164,0.05,0.04,0.04,0.01,0,1.03,sideways
165,0.06,0.05,0.04,0.01,0,1.03,sideways
166,0.05,0.05,0.05,0.01,-0,1.02,sideways
167,0.05,0.04,0.02,0.01,-0,1.02,sideways
168,0.05,0.05,0.03,0.01,0,1.02,sideways
169,0.06,0.04,0.03,0.01,0,1.03,sideways
170,0.06,0.05,0.03,0.01,-0.01,1.03,sideways
171,0.05,0.04,0.05,0.01,-0,1.03,sideways
172,0.06,0.04,0.04,0.01,-0,1.02,sideways
173,-0,0.05,0.19,0.08,0.02,1.03,sideways
174,0.05,0.05,0.06,0.03,0.01,1.03,sideways
175,0.05,0.06,0.09,0.08,-0,1.03,sideways
176,-0.12,0.07,-0.13,0.29,-0,0.88,sideways
177,0.05,0.03,-0.11,0.26,-0.02,1,sideways
178,-0.03,-0.03,-0.65,0.32,-0.2,1.14,sideways
179,0.06,0.11,-0.65,0.17,0.04,0.87,sideways
180,0.07,0.09,-0.08,0.22,-0.02,1.07,sideways
181,0.07,-0.01,-0.19,-0.12,0.16,1.15,sideways
182,-0,0.03,-0.91,-0.11,0.05,1.02,sideways
183,0.02,0.03,-0.68,-0.29,0.04,1.05,sideways
184,0.04,0.03,0.18,-0.21,0.04,1.01,sideways
185,0.04,0.04,0.04,-0.04,0.01,1.02,sideways
186,0.07,0.06,0.47,-0,-0.01,1.02,sideways
187,0.07,0.05,0.44,0.02,-0,1.02,sideways
188,0.06,0.05,0.07,0.03,-0,1.03,sideways
189,0.05,0.05,0.04,0.02,-0,1.03,sideways
190,0.06,0.05,0.02,0.01,-0,1.03,sideways
191,0.06,0.04,0.04,0.01,0,1.03,sideways
192,0.06,0.04,0.04,0.01,0,1.02,sideways
193,0.06,0.04,0.04,0.01,-0,1.03,sideways
194,0.05,0.04,0.03,0.01,-0,1.03,sideways
195,0.06,0.04,0.03,0.01,-0,1.02,sideways
196,0.05,0.04,0.03,0.01,-0,1.03,sideways
