seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
1230,0.11,6.54,0.03,0.74,-0.03,0.59,90degRot
1231,0.19,6.67,0.1,0.66,-0.01,0.67,90degRot
1232,0.34,6.61,0.36,0.46,-0.01,0.85,90degRot
1233,0.09,5.04,0.03,0.4,-0.01,0.9,90degRot
1234,0.1,4.79,0.02,0.35,-0.01,0.92,90degRot
1235,0.14,3.86,0.17,0.21,-0,1.02,90degRot
1236,0.04,3.4,-0.11,0.22,-0.01,0.97,90degRot
1237,0.04,2.79,-0.25,0.1,-0.01,1.05,90degRot
1238,0.07,2.14,-0.04,0.09,-0.01,1.04,90degRot
1239,0.08,3.06,-0.21,0.1,-0.01,0.96,90degRot
1240,0.08,0.02,0.06,0.05,-0.02,1.03,90degRot
1241,0.05,0.05,0,0.02,-0.01,1.03,90degRot
1242,0.11,-0.01,0.09,0.01,-0,1.04,90degRot
1243,0.12,-0.5,0.36,-0.07,0.01,1.09,90degRot
1244,-0.06,-2.58,0.73,-0.08,-0,1.14,90degRot
1245,0.06,-4.17,0.36,0.02,-0.02,1.07,90degRot
1246,0.04,-3.95,0.17,0.13,-0.01,1.01,90degRot
1247,0.13,-3.99,0.43,0.22,-0,0.97,90degRot
1248,0.28,-3.19,0.65,0.3,-0.05,0.94,90degRot
1249,-0.55,-2.94,-1.2,0.33,-0.03,0.99,90degRot
1250,-0.52,-4.34,-0.89,0.45,-0.03,0.88,90degRot
1251,0.11,-5.88,0.18,0.48,0.02,0.85,90degRot
1252,0.35,-5.73,0.4,0.6,-0.01,0.75,90degRot
1253,0.04,-5.7,0.06,0.68,-0,0.68,90degRot
1254,-0.23,-6.07,-0.11,0.78,-0.02,0.55,90degRot
1255,-0.2,-5.03,-0.08,0.86,-0.02,0.43,90degRot
1256,-0.64,-4.57,-0.2,0.92,-0,0.33,90degRot
1257,-0.44,-3.45,-0.08,0.97,-0.03,0.24,90degRot
1258,-0.09,-3.01,0.02,0.97,-0,0.19,90degRot
1259,-0.94,-3.8,-0.07,0.95,-0,0.13,90degRot
1260,-0.75,-3.62,0.04,0.98,-0.03,0.06,90degRot
1261,0.08,-0.12,0.05,1.01,-0.03,-0,90degRot
1262,0.05,0.06,0.04,0.99,-0.02,0,90degRot
