seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
102,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
103,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
104,0.06,0.04,0.02,0.01,0.01,1.03,UpDown
105,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
106,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
107,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
108,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
109,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
110,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
111,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
112,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
113,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
114,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
115,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
116,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
117,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
118,0.06,0.06,0.04,0.01,0.02,1.03,UpDown
119,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
120,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
121,0.04,0.04,0.04,0.01,0.01,1.03,UpDown
122,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
123,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
124,0.05,0.05,0.05,0.01,0.01,1.03,UpDown
125,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
126,0.06,0.05,0.04,0.01,0.01,1.03,UpDown
127,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
128,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
129,0.06,0.04,0.02,0.01,0.01,1.03,UpDown
130,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
131,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
132,0.05,0.04,0.04,0.01,0.01,1.04,UpDown
133,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
134,0.06,0.06,0.04,0.01,0.01,1.03,UpDown
135,0.05,0.05,0.05,0.01,0.01,1.03,UpDown
136,0.06,0.04,0.05,0.01,0.01,1.03,UpDown
137,0.06,0.03,0.04,0.01,0.01,1.03,UpDown
138,0.06,0.05,0.04,0.01,0.01,1.03,UpDown
139,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
140,0.04,0.04,0.04,0.01,0.01,1.03,UpDown
141,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
142,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
143,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
144,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
145,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
146,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
147,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
148,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
149,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
150,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
151,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
152,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
153,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
154,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
155,0.05,0.03,0.03,0.01,0.01,1.03,UpDown
156,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
157,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
158,0.05,0.06,0.03,0.01,0.01,1.03,UpDown
159,0.06,0.05,0.04,0.01,0.01,1.03,UpDown
160,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
161,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
162,0.04,0.04,0.03,0.01,0.01,1.04,UpDown
163,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
164,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
165,0.06,0.05,0.04,0.01,0.01,1.03,UpDown
166,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
167,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
168,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
169,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
170,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
171,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
172,0.04,0.04,0.04,0.01,0.01,1.04,UpDown
173,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
174,0.04,0.04,0.03,0.01,0.01,1.03,UpDown
175,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
176,0.06,0.06,0.04,0.01,0.01,1.03,UpDown
177,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
178,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
179,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
180,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
181,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
182,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
183,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
184,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
185,0.06,0.05,0.05,0.01,0.01,1.04,UpDown
186,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
187,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
188,0.05,0.04,0.04,0.01,0.01,1.04,UpDown
189,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
190,0.05,0.05,0.04,0.01,0.01,1.04,UpDown
191,0.05,0.04,0.05,0.01,0.01,1.03,UpDown
192,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
193,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
194,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
195,0.05,0.05,0.03,0.01,0.01,1.04,UpDown
196,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
197,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
198,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
199,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
200,0.06,0.04,0.03,0.01,0.01,1.04,UpDown
201,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
202,0.05,0.03,0.04,0.01,0.01,1.03,UpDown
203,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
204,0.05,0.05,0.03,0.01,0.01,1.04,UpDown
205,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
206,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
207,0.05,0.04,0.05,0.01,0.01,1.03,UpDown
208,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
209,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
210,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
211,0.05,0.04,0.05,0.01,0.01,1.03,UpDown
212,0.04,0.04,0.03,0.01,0.01,1.03,UpDown
213,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
214,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
215,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
216,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
217,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
218,0.04,0.05,0.03,0.01,0.01,1.04,UpDown
219,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
220,0.06,0.06,0.03,0.01,0.01,1.03,UpDown
221,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
222,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
223,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
224,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
225,0.05,0.04,0.03,0.01,0.01,1.04,UpDown
226,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
227,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
228,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
229,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
230,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
231,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
232,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
233,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
234,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
235,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
236,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
237,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
238,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
239,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
240,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
241,0.05,0.05,0.02,0.01,0.01,1.03,UpDown
242,0.04,0.05,0.05,0.01,0.01,1.03,UpDown
243,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
244,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
245,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
246,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
247,0.06,0.05,0.03,0.02,0.01,1.04,UpDown
248,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
249,0.04,0.04,0.03,0.01,0.01,1.03,UpDown
250,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
251,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
252,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
253,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
254,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
255,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
256,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
257,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
258,0.06,0.04,0.04,0.01,0.01,1.03,UpDown
259,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
260,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
261,0.06,0.05,0.03,0.01,0.01,1.04,UpDown
262,0.06,0.05,0.04,0.01,0.01,1.03,UpDown
263,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
264,0.05,0.05,0.02,0.01,0.02,1.03,UpDown
265,0.05,0.05,0.04,0.01,0.02,1.03,UpDown
266,0.05,0.05,0.04,0.01,0.01,1.04,UpDown
